KPIs,Zip,No_of_Art_Projects, Perc_Unemployment_2010 ,No_Educated_High_School_2010,Per_Capita_Household_Income_2010, Perc_Unemployment_2014 ,No_Educated_High_School_2015,Per_Capita_Household_Income_2015,No_of_Artists_Projects, Perc_Unemployment_2011 , Perc_Unemployment_2012 , Perc_Unemployment_2013 , Perc_Unemployment_2015 , Perc_Unemployment_2016 ,No_Employment_in_Arts_n_Entertainment_2010,No_Employment_in_Arts_n_Entertainment_2011,No_Employment_in_Arts_n_Entertainment_2012,No_Employment_in_Arts_n_Entertainment_2013,No_Employment_in_Arts_n_Entertainment_2014,No_Employment_in_Arts_n_Entertainment_2015,No_Employment_in_Arts_n_Entertainment_2016,No_Educated_High_School_2000,No_Educated_High_School_2011,No_Educated_High_School_2012,No_Educated_High_School_2013,No_Educated_High_School_2014,No_Educated_High_School_2016,No_Unemployed_2010,No_Unemployed_2011,No_Unemployed_2012,No_Unemployed_2013,No_Unemployed_2014,No_Unemployed_2015,No_Unemployed_2016,Population_2010,Population_2011,Population_2012,Population_2013,Population_2014,Population_2015,Population_2016,Total_Household_Income_2000,Total_Household_Income_2010,Total_Household_Income_2011,Total_Household_Income_2012,Total_Household_Income_2013,Total_Household_Income_2014,Total_Household_Income_2015,Total_Household_Income_2016,Per_Capita_Household_Income_2000,Per_Capita_Household_Income_2011,Per_Capita_Household_Income_2012,Per_Capita_Household_Income_2013,Per_Capita_Household_Income_2014
Per_Capita_Household_Income_2010,90064,4,0.05,2404,52673,0.08,2276,60211,1,0.05,0.06,0.08,0.07,0.06,523,526,530,529,729,685,714,2243,2374,2110,2207,2192,2307,658,665,860,1111,1106,947,848,26159,25209,25545,26633,26758,26948,26512,1034429263,1327527734,1334197802,1429792292,1514289286,1574687714,1613819875,1699992441,42764,52925,55972,57588,59301
Per_Capita_Household_Income_2011,90065,4,0.08,6456,23677,0.1,6027,27787,7,0.08,0.09,0.1,0.07,0.06,941,941,708,802,794,746,805,4638,6420,5809,5706,5807,6200,1941,1987,2287,2362,2545,1553,1425,45770,47237,46059,46727,47073,47275,47780,771068909,1118461074,1123353850,1228609745,1258286509,1258431440,1301370856,1348627682,15938,23781,26675,27138,26965
Per_Capita_Household_Income_2012,90066,2,0.06,5965,38846,0.1,6020,46251,5,0.06,0.08,0.1,0.07,0.06,1364,1364,1295,1475,1432,1349,1424,6146,5890,5351,5440,5847,6195,1995,2044,2693,3296,3356,2163,1956,56167,54524,55416,56550,57765,58214,58339,1493624620,2119311564,2129329989,2348455220,2475612335,2591313681,2667758337,2802376971,26780,39053,42379,44247,45289
Per_Capita_Household_Income_2013,90067,0,0.05,216,77553,0.1,356,107328,,0.05,0.05,0.07,0.07,0.06,104,104,68,77,59,53,58,292,213,192,313,350,373,71,72,53,79,125,78,73,2459,2409,2405,2480,2509,2484,2545,198810804,186979333,186773850,308978077,285758361,261725300,266601962,296780047,74629,77532,128473,115225,104315
Per_Capita_Household_Income_2014,90068,0,0.07,1784,62395,0.12,1800,72576,1,0.07,0.09,0.11,0.07,0.06,1975,1981,2133,2345,2365,2257,2376,1967,1758,1580,1671,1756,1845,1072,1101,1549,1830,1937,1069,972,23560,21955,23858,24245,24270,24315,24529,1136332835,1367701259,1370822624,1618085406,1727371899,1725615590,1761430245,1903371707,53085,62438,67822,71428,71220
Per_Capita_Household_Income_2015,90069,0,0.08,2618,66217,0.09,2068,84203,1,0.09,0.1,0.09,0.07,0.06,1385,1385,1325,1374,1352,1269,1327,2424,2567,2154,2218,2004,2108,1256,1286,1490,1404,1461,984,887,20139,20407,20315,20607,20685,20689,20622,1269693245,1355268479,1351964598,1676976238,1661488604,1706693582,1741986341,1870076872,61489,66250,82549,80632,82514
,90071,1,0.05,247,32969,0.01,92,36466,,0.05, -   ,0.01,0.07,0.06,48,48,0,5,19,15,17,0,239,0,87,98,100,41,41,0,2,4,16,15,595,1659,0,617,622,578,610,0,55519048,55649087,0,19181475,21272942,20676752,22287516,0,33544,0,31554,34670
,90077,0,0.04,580,81054,0.07,528,101379,,0.04,0.04,0.07,0.07,0.06,351,352,239,188,182,165,174,552,568,433,479,509,544,199,202,199,326,302,297,271,8974,9294,9013,9119,9190,9205,9236,898811928,758827121,752270070,1037609483,986977082,917980586,930287025,1021397350,98500,80941,115124,108552,100315
,90094,1,0.11,359,46239,0.17,206,76062,1,0.11,0.13,0.2,0.07,0.06,206,207,178,108,99,98,105,0,352,216,197,201,221,410,419,527,799,664,240,221,5551,5690,5673,5637,5608,5583,5694,N/A,263934751,266258331,337767934,383460141,421151204,424653227,464518569,N/A,46794,59540,68026,75098
,90210,0,0.05,1993,68549,0.08,2646,106336,,0.05,0.07,0.07,0.07,0.06,611,616,622,706,647,603,618,2024,1967,1943,2321,2523,2417,500,509,762,782,990,748,637,23393,21180,22709,24119,23995,24214,22743,2048422182,1448984567,1450457474,2078202413,2404454891,2539444950,2572824912,2757988420,92417,68482,91514,99778,105915
